domain,url,first_seen,label,source
www.fesii.info,http://www.fesii.info/,2025-09-21 00:00:00+00:00,phishing,openphish
activity.ncgrp.co,http://activity.ncgrp.co/q4rsh3wwzkj0jswp/,2025-09-21 00:00:00+00:00,phishing,openphish
bet83032.com,https://bet83032.com/about/responsible_gambling,2025-09-21 00:00:00+00:00,phishing,openphish
mymissedcallvoicemailmessage-107606.weeblysite.com,http://mymissedcallvoicemailmessage-107606.weeblysite.com/,2025-09-21 00:00:00+00:00,phishing,openphish
ipfs.io,https://ipfs.io/ipfs/bafybeicw3q6zaiq2yee62wog6jgpnfgyowhix76b3p6cuoys5bsaoyrp5i?filename=WeTransfer___webserver500000.html,2025-09-21 00:00:00+00:00,phishing,openphish
memeporfolioprofits.xyz,https://memeporfolioprofits.xyz/,2025-09-21 00:00:00+00:00,phishing,openphish
www.kkinstagram.com,http://www.kkinstagram.com/reel/DLQwpoDP_3Y/,2025-09-21 00:00:00+00:00,phishing,openphish
sso-coinbasee-com-x-auth-cdn.typedream.app,http://sso-coinbasee-com-x-auth-cdn.typedream.app/,2025-09-21 00:00:00+00:00,phishing,openphish
outlookoffice365.xyz,http://outlookoffice365.xyz/9ae65d0f72fecc4d68045ee4af3e62876657ff66609b8LOG9ae65d0f72fecc4d68045ee4af3e62876657ff66609b9,2025-09-21 00:00:00+00:00,phishing,openphish
m.imqkuc.cn,https://m.imqkuc.cn/ww/,2025-09-21 00:00:00+00:00,phishing,openphish
yytfr.vercel.app,http://yytfr.vercel.app/contact.html,2025-09-21 00:00:00+00:00,phishing,openphish
telstrapulsereactivationcommunicationlaustralia.framer.website,http://telstrapulsereactivationcommunicationlaustralia.framer.website/,2025-09-21 00:00:00+00:00,phishing,openphish
btinternetband-108208.weeblysite.com,http://btinternetband-108208.weeblysite.com/,2025-09-21 00:00:00+00:00,phishing,openphish
metamaesk-en.pages.dev,https://metamaesk-en.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
project-trezo-io-login.pages.dev,https://project-trezo-io-login.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
www.hc-support.de,https://www.hc-support.de/,2025-09-21 00:00:00+00:00,phishing,openphish
faq-trezor-login-help.pages.dev,https://faq-trezor-login-help.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
trzor-walet-login.pages.dev,https://trzor-walet-login.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
access-trezor-wallet-login-cdn.pages.dev,https://access-trezor-wallet-login-cdn.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
treisor-suite-auth-x.pages.dev,https://treisor-suite-auth-x.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
support-suit-trazor.pages.dev,https://support-suit-trazor.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
login----trzr.pages.dev,https://login----trzr.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
support-live-ledger-cdn.pages.dev,https://support-live-ledger-cdn.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
auth-ledger-liv-donload.pages.dev,https://auth-ledger-liv-donload.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
home-kucoin-login.pages.dev,https://home-kucoin-login.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
wallet----uphld.pages.dev,https://wallet----uphld.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
auth-ledger-liv-en.pages.dev,https://auth-ledger-liv-en.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
login----uphld.pages.dev,https://login----uphld.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
login----liiive---ledgrr.pages.dev,https://login----liiive---ledgrr.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
home-trezor-loginn.pages.dev,https://home-trezor-loginn.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
walet-trazor-logon-auth.pages.dev,https://walet-trazor-logon-auth.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
ldgrrr---com---startt.pages.dev,https://ldgrrr---com---startt.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
support-ledger-com-start.pages.dev,https://support-ledger-com-start.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
trezr----login---wallett.pages.dev,https://trezr----login---wallett.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
julesnar.github.io,https://julesnar.github.io/insta-sign-up/,2025-09-21 00:00:00+00:00,phishing,openphish
skmahaboob7865.github.io,https://skmahaboob7865.github.io/Amazon_clone/,2025-09-21 00:00:00+00:00,phishing,openphish
en-uphold-login-docs.pages.dev,https://en-uphold-login-docs.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
mohammed-mubasheer.github.io,https://mohammed-mubasheer.github.io/Netflix-Website-Clone/,2025-09-21 00:00:00+00:00,phishing,openphish
arshad-jamal-05.github.io,https://arshad-jamal-05.github.io/netflix-clone/,2025-09-21 00:00:00+00:00,phishing,openphish
auth-uphold-logiin-eng-us.pages.dev,https://auth-uphold-logiin-eng-us.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
login---live--ldgrr.pages.dev,https://login---live--ldgrr.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
protect-wallet.pages.dev,https://protect-wallet.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
wallett-uphold-en.pages.dev,https://wallett-uphold-en.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
auth-downlod-suit-srzor.pages.dev,https://auth-downlod-suit-srzor.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
meta-for-business-support-standard-compliance.pages.dev,https://meta-for-business-support-standard-compliance.pages.dev/form_submit,2025-09-21 00:00:00+00:00,phishing,openphish
sharepoint-datacloud.com,http://sharepoint-datacloud.com/d08de98d892475bccc7f721646c50a3966515d9c67d36LOGd08de98d892475bccc7f721646c50a3966515d9c67d37,2025-09-21 00:00:00+00:00,phishing,openphish
jpja-theviewb00.com,https://jpja-theviewb00.com/,2025-09-21 00:00:00+00:00,phishing,openphish
bt-100072-102199.weeblysite.com,http://bt-100072-102199.weeblysite.com/,2025-09-21 00:00:00+00:00,phishing,openphish
cityboysandgirltogether.vercel.app,http://cityboysandgirltogether.vercel.app/?naps,2025-09-21 00:00:00+00:00,phishing,openphish
webmailnaverlogin.vercel.app,http://webmailnaverlogin.vercel.app/,2025-09-21 00:00:00+00:00,phishing,openphish
lordgimmeasign.vercel.app,http://lordgimmeasign.vercel.app/?naps,2025-09-21 00:00:00+00:00,phishing,openphish
blowballonrespiratory.vercel.app,http://blowballonrespiratory.vercel.app/,2025-09-21 00:00:00+00:00,phishing,openphish
w97g7.musemind.design,https://w97g7.musemind.design:8443/impact?OoOabcN63WL=aW5mb0Bmc2VndXJhLmNvbQ==,2025-09-21 00:00:00+00:00,phishing,openphish
myjobdhl.earcu.com,https://myjobdhl.earcu.com/intranet/profileaccess/332549/61c6fb1a-89a9-489f-a5c3-6a13ec6cfaf8,2025-09-21 00:00:00+00:00,phishing,openphish
www.global-brics08.top,https://www.global-brics08.top/,2025-09-21 00:00:00+00:00,phishing,openphish
f005.backblazeb2.com,https://f005.backblazeb2.com/file/standardx/index.html,2025-09-21 00:00:00+00:00,phishing,openphish
loq.pdfsecureview.sbs,https://loq.pdfsecureview.sbs/cNbJEqRj,2025-09-21 00:00:00+00:00,phishing,openphish
0magl.musemind.design,https://0magl.musemind.design:8443/impact?OoOabcKOLGQ=b2ZmaWNlQHNlcGEtY3liZXIuY29t,2025-09-21 00:00:00+00:00,phishing,openphish
io-en-trzor.github.io,http://io-en-trzor.github.io/,2025-09-21 00:00:00+00:00,phishing,openphish
www.pagos.coemco.cl,http://www.pagos.coemco.cl/,2025-09-21 00:00:00+00:00,phishing,openphish
shahareartamim01.github.io,http://shahareartamim01.github.io/Facebook_login,2025-09-21 00:00:00+00:00,phishing,openphish
valvequotationandrequest.vercel.app,http://valvequotationandrequest.vercel.app/,2025-09-21 00:00:00+00:00,phishing,openphish
syncronizationprojectswork.vercel.app,http://syncronizationprojectswork.vercel.app/?naps,2025-09-21 00:00:00+00:00,phishing,openphish
flix-billing-update.com,https://flix-billing-update.com/ntfxLogin.php?sslchannel=true&sessionid=SN8oyKysIuQy2Z9esgCdiw4fL8vaNu716YdvAIeXlKrsvQs5QidFYo86uMkcyCexakYcK4x3TnIInICdQhC2lHLCqa6ZTsWp0ZcWlKjrXvAHZVtCVpRRnjfyhDLImY4VbH,2025-09-21 00:00:00+00:00,phishing,openphish
www.behrseng.com,http://www.behrseng.com/,2025-09-21 00:00:00+00:00,phishing,openphish
b45086.com,http://b45086.com/egame/202,2025-09-21 00:00:00+00:00,phishing,openphish
